DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Central,民營電廠-燃氣(IPP-LNG),1739.7,27.0,3.67,15.0,27.0,2.67,5.0
2025-07-09 09:30:00,Central,民營電廠-燃氣(IPP-LNG),2805.6,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:40:00,Central,民營電廠-燃氣(IPP-LNG),2808.7,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:50:00,Central,民營電廠-燃氣(IPP-LNG),2813.4,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:00:00,Central,民營電廠-燃氣(IPP-LNG),2811.2,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:10:00,Central,民營電廠-燃氣(IPP-LNG),2833.6,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:20:00,Central,民營電廠-燃氣(IPP-LNG),2813.7,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:30:00,Central,民營電廠-燃氣(IPP-LNG),2802.6,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:40:00,Central,民營電廠-燃氣(IPP-LNG),2799.1,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:50:00,Central,民營電廠-燃氣(IPP-LNG),2816.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:00:00,Central,民營電廠-燃氣(IPP-LNG),2808.6,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:10:00,Central,民營電廠-燃氣(IPP-LNG),2797.6000000000004,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:20:00,Central,民營電廠-燃氣(IPP-LNG),2806.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:30:00,Central,民營電廠-燃氣(IPP-LNG),2801.4,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:40:00,Central,民營電廠-燃氣(IPP-LNG),2813.3,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:50:00,Central,民營電廠-燃氣(IPP-LNG),2852.8,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:00:00,Central,民營電廠-燃氣(IPP-LNG),2792.2,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:10:00,Central,民營電廠-燃氣(IPP-LNG),2795.2,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:20:00,Central,民營電廠-燃氣(IPP-LNG),2708.2,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:30:00,Central,民營電廠-燃氣(IPP-LNG),2618.7,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:40:00,Central,民營電廠-燃氣(IPP-LNG),2621.7,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:50:00,Central,民營電廠-燃氣(IPP-LNG),2619.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:00:00,Central,民營電廠-燃氣(IPP-LNG),2353.6,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:10:00,Central,民營電廠-燃氣(IPP-LNG),2347.9,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:20:00,Central,民營電廠-燃氣(IPP-LNG),2349.6,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:30:00,Central,民營電廠-燃氣(IPP-LNG),2350.5,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:40:00,Central,民營電廠-燃氣(IPP-LNG),2345.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:50:00,Central,民營電廠-燃氣(IPP-LNG),2350.2,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 14:00:00,Central,民營電廠-燃氣(IPP-LNG),2346.8,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:10:00,Central,民營電廠-燃氣(IPP-LNG),2352.3,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:20:00,Central,民營電廠-燃氣(IPP-LNG),2350.2,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:30:00,Central,民營電廠-燃氣(IPP-LNG),2347.9,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:40:00,Central,民營電廠-燃氣(IPP-LNG),2350.8,29.0,5.0,18.0,26.0,3.67,18.0
