DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Central,燃煤(Coal),3664.7,27.0,3.67,15.0,27.0,2.67,5.0
2025-07-09 09:30:00,Central,燃煤(Coal),4271.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:40:00,Central,燃煤(Coal),4320.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:50:00,Central,燃煤(Coal),4332.2,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:00:00,Central,燃煤(Coal),4352.8,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:10:00,Central,燃煤(Coal),4365.8,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:20:00,Central,燃煤(Coal),4353.7,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:30:00,Central,燃煤(Coal),4342.2,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:40:00,Central,燃煤(Coal),4357.7,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:50:00,Central,燃煤(Coal),4321.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:00:00,Central,燃煤(Coal),4277.4,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:10:00,Central,燃煤(Coal),4254.7,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:20:00,Central,燃煤(Coal),4254.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:30:00,Central,燃煤(Coal),4206.900000000001,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:40:00,Central,燃煤(Coal),4154.1,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:50:00,Central,燃煤(Coal),4166.9,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:00:00,Central,燃煤(Coal),4159.2,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:10:00,Central,燃煤(Coal),4148.4,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:20:00,Central,燃煤(Coal),4152.2,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:30:00,Central,燃煤(Coal),4149.6,27.0,2.67,5.0,28.0,3.0,17.0
