DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,East,水力(Hydro),50.5,27.0,2.0,4.0,28.0,3.0,5.0
2025-07-09 09:30:00,East,水力(Hydro),45.0,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 09:40:00,East,水力(Hydro),44.9,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 09:50:00,East,水力(Hydro),44.6,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 10:00:00,East,水力(Hydro),44.6,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 10:10:00,East,水力(Hydro),45.8,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 10:20:00,East,水力(Hydro),46.0,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 10:30:00,East,水力(Hydro),46.0,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 10:40:00,East,水力(Hydro),45.9,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 10:50:00,East,水力(Hydro),45.9,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 11:00:00,East,水力(Hydro),45.8,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 11:10:00,East,水力(Hydro),46.0,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 11:20:00,East,水力(Hydro),46.0,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 11:30:00,East,水力(Hydro),45.8,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 11:40:00,East,水力(Hydro),46.1,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 11:50:00,East,水力(Hydro),45.6,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 12:00:00,East,水力(Hydro),46.5,31.0,3.0,5.0,28.0,3.0,5.0
2025-07-09 12:10:00,East,水力(Hydro),46.6,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 12:20:00,East,水力(Hydro),46.6,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 12:30:00,East,水力(Hydro),46.6,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 12:40:00,East,水力(Hydro),46.5,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 12:50:00,East,水力(Hydro),47.4,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 13:00:00,East,水力(Hydro),47.3,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 13:10:00,East,水力(Hydro),47.2,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 13:20:00,East,水力(Hydro),47.0,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 13:30:00,East,水力(Hydro),48.7,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 13:40:00,East,水力(Hydro),49.4,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 13:50:00,East,水力(Hydro),49.4,28.0,3.0,5.0,30.0,3.0,2.0
2025-07-09 14:00:00,East,水力(Hydro),49.0,30.0,2.0,18.0,28.0,2.0,5.0
2025-07-09 14:10:00,East,水力(Hydro),71.4,30.0,2.0,18.0,28.0,2.0,5.0
2025-07-09 14:20:00,East,水力(Hydro),73.8,30.0,2.0,18.0,28.0,2.0,5.0
2025-07-09 14:30:00,East,水力(Hydro),75.0,30.0,2.0,18.0,28.0,2.0,5.0
2025-07-09 14:40:00,East,水力(Hydro),80.2,30.0,2.0,18.0,28.0,2.0,5.0
2025-07-09 14:50:00,East,水力(Hydro),78.5,30.0,2.0,18.0,28.0,2.0,5.0
2025-07-09 15:00:00,East,水力(Hydro),106.1,30.0,2.0,18.0,28.0,2.0,5.0
2025-07-09 15:10:00,East,水力(Hydro),117.3,27.0,2.0,17.0,28.0,2.0,5.0
2025-07-09 15:20:00,East,水力(Hydro),115.0,27.0,2.0,17.0,28.0,2.0,5.0
2025-07-09 15:30:00,East,水力(Hydro),117.4,27.0,2.0,17.0,28.0,2.0,5.0
2025-07-09 15:40:00,East,水力(Hydro),181.9,27.0,2.0,17.0,28.0,2.0,5.0
