DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,North,水力(Hydro),32.7,27.5,4.75,11.0,27.5,1.75,5.0
2025-07-09 09:30:00,North,水力(Hydro),32.599999999999994,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 09:40:00,North,水力(Hydro),32.8,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 09:50:00,North,水力(Hydro),33.0,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 10:00:00,North,水力(Hydro),32.9,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 10:10:00,North,水力(Hydro),32.9,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 10:20:00,North,水力(Hydro),33.2,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 10:30:00,North,水力(Hydro),34.7,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 10:40:00,North,水力(Hydro),34.599999999999994,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 10:50:00,North,水力(Hydro),34.4,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 11:00:00,North,水力(Hydro),34.5,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 11:10:00,North,水力(Hydro),34.599999999999994,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 11:20:00,North,水力(Hydro),34.599999999999994,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 11:30:00,North,水力(Hydro),34.4,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 11:40:00,North,水力(Hydro),34.599999999999994,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 11:50:00,North,水力(Hydro),34.7,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 12:00:00,North,水力(Hydro),34.599999999999994,30.25,3.0,17.0,27.5,1.75,5.0
2025-07-09 12:10:00,North,水力(Hydro),34.7,27.5,1.75,5.0,29.25,2.75,18.0
