DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Other,風力(Wind),22.0,,,,,,
2025-07-09 09:30:00,Other,風力(Wind),21.6,,,,,,
2025-07-09 09:40:00,Other,風力(Wind),20.6,,,,,,
2025-07-09 09:50:00,Other,風力(Wind),14.4,,,,,,
2025-07-09 10:00:00,Other,風力(Wind),18.7,,,,,,
2025-07-09 10:10:00,Other,風力(Wind),21.9,,,,,,
2025-07-09 10:20:00,Other,風力(Wind),24.4,,,,,,
2025-07-09 10:30:00,Other,風力(Wind),27.4,,,,,,
2025-07-09 10:40:00,Other,風力(Wind),23.0,,,,,,
2025-07-09 10:50:00,Other,風力(Wind),17.9,,,,,,
2025-07-09 11:00:00,Other,風力(Wind),16.8,,,,,,
2025-07-09 11:10:00,Other,風力(Wind),15.0,,,,,,
2025-07-09 11:20:00,Other,風力(Wind),14.8,,,,,,
2025-07-09 11:30:00,Other,風力(Wind),15.4,,,,,,
2025-07-09 11:40:00,Other,風力(Wind),15.1,,,,,,
2025-07-09 11:50:00,Other,風力(Wind),13.1,,,,,,
2025-07-09 12:00:00,Other,風力(Wind),12.6,,,,,,
2025-07-09 12:10:00,Other,風力(Wind),10.7,,,,,,
2025-07-09 12:20:00,Other,風力(Wind),15.7,,,,,,
2025-07-09 12:30:00,Other,風力(Wind),17.3,,,,,,
2025-07-09 12:40:00,Other,風力(Wind),19.700000000000003,,,,,,
2025-07-09 12:50:00,Other,風力(Wind),15.4,,,,,,
2025-07-09 13:00:00,Other,風力(Wind),16.6,,,,,,
2025-07-09 13:10:00,Other,風力(Wind),19.4,,,,,,
2025-07-09 13:20:00,Other,風力(Wind),16.1,,,,,,
2025-07-09 13:30:00,Other,風力(Wind),18.4,,,,,,
2025-07-09 13:40:00,Other,風力(Wind),18.3,,,,,,
2025-07-09 13:50:00,Other,風力(Wind),15.5,,,,,,
2025-07-09 14:00:00,Other,風力(Wind),15.2,,,,,,
2025-07-09 14:10:00,Other,風力(Wind),13.3,,,,,,
2025-07-09 14:20:00,Other,風力(Wind),11.1,,,,,,
2025-07-09 14:30:00,Other,風力(Wind),15.1,,,,,,
2025-07-09 14:40:00,Other,風力(Wind),14.2,,,,,,
2025-07-09 14:50:00,Other,風力(Wind),12.6,,,,,,
2025-07-09 15:00:00,Other,風力(Wind),11.4,,,,,,
2025-07-09 15:10:00,Other,風力(Wind),12.9,,,,,,
2025-07-09 15:20:00,Other,風力(Wind),10.6,,,,,,
2025-07-09 15:30:00,Other,風力(Wind),17.7,,,,,,
2025-07-09 15:40:00,Other,風力(Wind),19.700000000000003,,,,,,
2025-07-09 15:50:00,Other,風力(Wind),15.2,,,,,,
2025-07-09 16:00:00,Other,風力(Wind),18.2,,,,,,
2025-07-09 16:10:00,Other,風力(Wind),21.5,,,,,,
2025-07-09 16:20:00,Other,風力(Wind),20.0,,,,,,
2025-07-09 16:30:00,Other,風力(Wind),15.6,,,,,,
2025-07-09 16:40:00,Other,風力(Wind),16.0,,,,,,
2025-07-09 16:50:00,Other,風力(Wind),14.8,,,,,,
2025-07-09 17:00:00,Other,風力(Wind),15.5,,,,,,
2025-07-09 17:10:00,Other,風力(Wind),12.1,,,,,,
2025-07-09 17:20:00,Other,風力(Wind),12.0,,,,,,
2025-07-09 17:30:00,Other,風力(Wind),17.200000000000003,,,,,,
2025-07-09 17:40:00,Other,風力(Wind),12.1,,,,,,
2025-07-09 17:50:00,Other,風力(Wind),8.8,,,,,,
2025-07-09 18:00:00,Other,風力(Wind),5.9,,,,,,
2025-07-09 18:10:00,Other,風力(Wind),6.2,,,,,,
2025-07-09 18:20:00,Other,風力(Wind),6.6,,,,,,
2025-07-09 18:30:00,Other,風力(Wind),6.9,,,,,,
2025-07-09 18:40:00,Other,風力(Wind),6.6,,,,,,
2025-07-09 18:50:00,Other,風力(Wind),8.2,,,,,,
2025-07-09 19:00:00,Other,風力(Wind),10.7,,,,,,
2025-07-09 19:10:00,Other,風力(Wind),11.5,,,,,,
2025-07-09 19:20:00,Other,風力(Wind),9.8,,,,,,
2025-07-09 19:30:00,Other,風力(Wind),8.1,,,,,,
2025-07-09 19:40:00,Other,風力(Wind),7.1000000000000005,,,,,,
2025-07-09 19:50:00,Other,風力(Wind),7.0,,,,,,
2025-07-09 20:00:00,Other,風力(Wind),6.699999999999999,,,,,,
2025-07-09 20:10:00,Other,風力(Wind),8.4,,,,,,
2025-07-09 20:20:00,Other,風力(Wind),8.8,,,,,,
2025-07-09 20:30:00,Other,風力(Wind),9.2,,,,,,
2025-07-09 20:40:00,Other,風力(Wind),10.4,,,,,,
2025-07-09 20:50:00,Other,風力(Wind),9.2,,,,,,
2025-07-09 21:00:00,Other,風力(Wind),9.9,,,,,,
2025-07-09 21:10:00,Other,風力(Wind),11.6,,,,,,
2025-07-09 21:20:00,Other,風力(Wind),11.7,,,,,,
2025-07-09 21:30:00,Other,風力(Wind),11.8,,,,,,
2025-07-09 21:40:00,Other,風力(Wind),10.8,,,,,,
2025-07-09 21:50:00,Other,風力(Wind),8.9,,,,,,
2025-07-09 22:00:00,Other,風力(Wind),8.399999999999999,,,,,,
2025-07-09 22:10:00,Other,風力(Wind),10.5,,,,,,
2025-07-09 22:20:00,Other,風力(Wind),10.4,,,,,,
2025-07-09 22:30:00,Other,風力(Wind),6.7,,,,,,
2025-07-09 22:40:00,Other,風力(Wind),7.3,,,,,,
2025-07-09 22:50:00,Other,風力(Wind),7.7,,,,,,
2025-07-09 23:00:00,Other,風力(Wind),7.3,,,,,,
2025-07-09 23:10:00,Other,風力(Wind),6.8,,,,,,
2025-07-09 23:20:00,Other,風力(Wind),7.0,,,,,,
2025-07-09 23:30:00,Other,風力(Wind),6.8,,,,,,
2025-07-09 23:40:00,Other,風力(Wind),6.6,,,,,,
2025-07-09 23:50:00,Other,風力(Wind),8.1,,,,,,
2025-07-10 00:00:00,Other,風力(Wind),7.3,,,,,,
2025-07-10 00:10:00,Other,風力(Wind),8.8,,,,,,
2025-07-10 00:20:00,Other,風力(Wind),7.4,,,,,,
2025-07-10 00:30:00,Other,風力(Wind),7.6,,,,,,
2025-07-10 00:40:00,Other,風力(Wind),6.8,,,,,,
2025-07-10 00:50:00,Other,風力(Wind),4.8,,,,,,
2025-07-10 01:00:00,Other,風力(Wind),4.8,,,,,,
2025-07-10 01:10:00,Other,風力(Wind),4.7,,,,,,
2025-07-10 01:20:00,Other,風力(Wind),4.2,,,,,,
2025-07-10 01:30:00,Other,風力(Wind),3.6,,,,,,
2025-07-10 01:40:00,Other,風力(Wind),3.9,,,,,,
2025-07-10 01:50:00,Other,風力(Wind),4.4,,,,,,
2025-07-10 02:00:00,Other,風力(Wind),5.1,,,,,,
2025-07-10 02:10:00,Other,風力(Wind),7.300000000000001,,,,,,
2025-07-10 02:20:00,Other,風力(Wind),6.0,,,,,,
2025-07-10 02:30:00,Other,風力(Wind),5.1,,,,,,
2025-07-10 02:40:00,Other,風力(Wind),4.7,,,,,,
2025-07-10 02:50:00,Other,風力(Wind),5.6,,,,,,
2025-07-10 03:00:00,Other,風力(Wind),5.9,,,,,,
2025-07-10 03:10:00,Other,風力(Wind),5.1,,,,,,
2025-07-10 03:20:00,Other,風力(Wind),4.4,,,,,,
2025-07-10 03:30:00,Other,風力(Wind),4.7,,,,,,
2025-07-10 03:40:00,Other,風力(Wind),7.4,,,,,,
2025-07-10 03:50:00,Other,風力(Wind),3.1,,,,,,
2025-07-10 04:00:00,Other,風力(Wind),4.4,,,,,,
2025-07-10 04:10:00,Other,風力(Wind),7.0,,,,,,
2025-07-10 04:20:00,Other,風力(Wind),5.2,,,,,,
2025-07-10 04:30:00,Other,風力(Wind),5.9,,,,,,
2025-07-10 04:40:00,Other,風力(Wind),5.4,,,,,,
2025-07-10 04:50:00,Other,風力(Wind),5.7,,,,,,
2025-07-10 05:00:00,Other,風力(Wind),5.3,,,,,,
2025-07-10 05:10:00,Other,風力(Wind),5.4,,,,,,
2025-07-10 05:20:00,Other,風力(Wind),6.0,,,,,,
2025-07-10 05:30:00,Other,風力(Wind),5.6,,,,,,
2025-07-10 05:40:00,Other,風力(Wind),6.300000000000001,,,,,,
2025-07-10 05:50:00,Other,風力(Wind),5.9,,,,,,
2025-07-10 06:00:00,Other,風力(Wind),4.7,,,,,,
2025-07-10 06:10:00,Other,風力(Wind),5.5,,,,,,
2025-07-10 06:20:00,Other,風力(Wind),5.8,,,,,,
2025-07-10 06:30:00,Other,風力(Wind),5.6000000000000005,,,,,,
2025-07-10 06:40:00,Other,風力(Wind),7.0,,,,,,
2025-07-10 06:50:00,Other,風力(Wind),6.6,,,,,,
2025-07-10 07:00:00,Other,風力(Wind),4.3,,,,,,
2025-07-10 07:10:00,Other,風力(Wind),4.0,,,,,,
2025-07-10 07:20:00,Other,風力(Wind),3.6,,,,,,
2025-07-10 07:30:00,Other,風力(Wind),3.5,,,,,,
2025-07-10 07:40:00,Other,風力(Wind),4.6,,,,,,
2025-07-10 07:50:00,Other,風力(Wind),5.9,,,,,,
2025-07-10 08:00:00,Other,風力(Wind),5.6,,,,,,
2025-07-10 08:10:00,Other,風力(Wind),6.5,,,,,,
2025-07-10 08:20:00,Other,風力(Wind),5.5,,,,,,
