DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,South,民營電廠-燃氣(IPP-LNG),411.6,26.75,2.0,18.0,26.75,4.0,18.0
2025-07-09 09:30:00,South,民營電廠-燃氣(IPP-LNG),503.8,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 09:40:00,South,民營電廠-燃氣(IPP-LNG),471.7,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 09:50:00,South,民營電廠-燃氣(IPP-LNG),477.3,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:00:00,South,民營電廠-燃氣(IPP-LNG),526.4,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:10:00,South,民營電廠-燃氣(IPP-LNG),624.3,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:20:00,South,民營電廠-燃氣(IPP-LNG),739.7,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:30:00,South,民營電廠-燃氣(IPP-LNG),918.3,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:40:00,South,民營電廠-燃氣(IPP-LNG),1094.0,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:50:00,South,民營電廠-燃氣(IPP-LNG),1103.1,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:00:00,South,民營電廠-燃氣(IPP-LNG),1100.9,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:10:00,South,民營電廠-燃氣(IPP-LNG),1149.0,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:20:00,South,民營電廠-燃氣(IPP-LNG),1163.9,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:30:00,South,民營電廠-燃氣(IPP-LNG),1140.6,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:40:00,South,民營電廠-燃氣(IPP-LNG),1109.7,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:50:00,South,民營電廠-燃氣(IPP-LNG),1111.6,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 12:00:00,South,民營電廠-燃氣(IPP-LNG),1097.8,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 12:10:00,South,民營電廠-燃氣(IPP-LNG),959.5,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 12:20:00,South,民營電廠-燃氣(IPP-LNG),966.1,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 12:30:00,South,民營電廠-燃氣(IPP-LNG),964.6,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 12:40:00,South,民營電廠-燃氣(IPP-LNG),965.0,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 12:50:00,South,民營電廠-燃氣(IPP-LNG),964.9,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:00:00,South,民營電廠-燃氣(IPP-LNG),966.4,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:10:00,South,民營電廠-燃氣(IPP-LNG),965.1,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:20:00,South,民營電廠-燃氣(IPP-LNG),964.4,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:30:00,South,民營電廠-燃氣(IPP-LNG),965.6,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:40:00,South,民營電廠-燃氣(IPP-LNG),966.1,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:50:00,South,民營電廠-燃氣(IPP-LNG),964.7,26.75,4.0,18.0,27.75,3.5,18.0
