DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,South,水力(Hydro),6.8,26.75,2.0,18.0,26.75,4.0,18.0
2025-07-09 09:30:00,South,水力(Hydro),6.8,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 09:40:00,South,水力(Hydro),6.7,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 09:50:00,South,水力(Hydro),6.9,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:00:00,South,水力(Hydro),6.7,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:10:00,South,水力(Hydro),6.7,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:20:00,South,水力(Hydro),6.7,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:30:00,South,水力(Hydro),6.6,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:40:00,South,水力(Hydro),6.5,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:50:00,South,水力(Hydro),6.3,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:00:00,South,水力(Hydro),6.2,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:10:00,South,水力(Hydro),6.0,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:20:00,South,水力(Hydro),5.9,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:30:00,South,水力(Hydro),5.8,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:40:00,South,水力(Hydro),5.5,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:50:00,South,水力(Hydro),5.4,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 12:00:00,South,水力(Hydro),5.2,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 12:10:00,South,水力(Hydro),5.1,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 12:20:00,South,水力(Hydro),5.0,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 12:30:00,South,水力(Hydro),5.0,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 12:40:00,South,水力(Hydro),4.9,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 12:50:00,South,水力(Hydro),4.9,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:00:00,South,水力(Hydro),4.7,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:10:00,South,水力(Hydro),27.6,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:20:00,South,水力(Hydro),54.3,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:30:00,South,水力(Hydro),54.5,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:40:00,South,水力(Hydro),54.400000000000006,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 13:50:00,South,水力(Hydro),54.5,26.75,4.0,18.0,27.75,3.5,18.0
2025-07-09 14:00:00,South,水力(Hydro),54.6,28.5,7.0,18.0,27.5,6.25,18.0
2025-07-09 14:10:00,South,水力(Hydro),54.6,28.5,7.0,18.0,27.5,6.25,18.0
2025-07-09 14:20:00,South,水力(Hydro),54.9,28.5,7.0,18.0,27.5,6.25,18.0
2025-07-09 14:30:00,South,水力(Hydro),55.1,28.5,7.0,18.0,27.5,6.25,18.0
2025-07-09 14:40:00,South,水力(Hydro),55.0,28.5,7.0,18.0,27.5,6.25,18.0
2025-07-09 14:50:00,South,水力(Hydro),55.1,28.5,7.0,18.0,27.5,6.25,18.0
2025-07-09 15:00:00,South,水力(Hydro),55.2,28.5,7.0,18.0,27.5,6.25,18.0
2025-07-09 15:10:00,South,水力(Hydro),54.6,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 15:20:00,South,水力(Hydro),54.5,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 15:30:00,South,水力(Hydro),54.5,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 15:40:00,South,水力(Hydro),54.3,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 15:50:00,South,水力(Hydro),53.9,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 16:00:00,South,水力(Hydro),53.9,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 16:10:00,South,水力(Hydro),54.4,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 16:20:00,South,水力(Hydro),53.6,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 16:30:00,South,水力(Hydro),53.7,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 16:40:00,South,水力(Hydro),53.7,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 16:50:00,South,水力(Hydro),53.6,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 17:00:00,South,水力(Hydro),53.8,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 17:10:00,South,水力(Hydro),53.900000000000006,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 17:20:00,South,水力(Hydro),53.6,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 17:30:00,South,水力(Hydro),53.7,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 17:40:00,South,水力(Hydro),53.7,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 17:50:00,South,水力(Hydro),53.8,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 18:00:00,South,水力(Hydro),53.8,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 18:10:00,South,水力(Hydro),53.8,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 18:20:00,South,水力(Hydro),54.4,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 18:30:00,South,水力(Hydro),55.4,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 18:40:00,South,水力(Hydro),55.6,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 18:50:00,South,水力(Hydro),55.9,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 19:00:00,South,水力(Hydro),55.7,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 19:10:00,South,水力(Hydro),55.8,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 19:20:00,South,水力(Hydro),55.6,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 19:30:00,South,水力(Hydro),55.7,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 19:40:00,South,水力(Hydro),55.3,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 19:50:00,South,水力(Hydro),55.400000000000006,26.75,6.0,18.0,27.5,6.25,18.0
2025-07-09 20:00:00,South,水力(Hydro),55.8,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 20:10:00,South,水力(Hydro),55.7,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 20:20:00,South,水力(Hydro),55.4,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 20:30:00,South,水力(Hydro),55.3,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 20:40:00,South,水力(Hydro),55.0,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 20:50:00,South,水力(Hydro),54.1,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 21:00:00,South,水力(Hydro),54.0,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 21:10:00,South,水力(Hydro),53.7,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 21:20:00,South,水力(Hydro),53.4,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 21:30:00,South,水力(Hydro),53.7,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 21:40:00,South,水力(Hydro),53.6,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 21:50:00,South,水力(Hydro),53.4,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 22:00:00,South,水力(Hydro),53.3,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 22:10:00,South,水力(Hydro),52.6,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 22:20:00,South,水力(Hydro),52.7,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 22:30:00,South,水力(Hydro),52.7,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 22:40:00,South,水力(Hydro),52.5,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 22:50:00,South,水力(Hydro),52.4,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 23:00:00,South,水力(Hydro),52.0,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 23:10:00,South,水力(Hydro),51.8,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 23:20:00,South,水力(Hydro),52.0,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 23:30:00,South,水力(Hydro),51.7,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 23:40:00,South,水力(Hydro),51.4,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-09 23:50:00,South,水力(Hydro),51.5,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 00:00:00,South,水力(Hydro),51.5,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 00:10:00,South,水力(Hydro),51.3,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 00:20:00,South,水力(Hydro),50.6,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 00:30:00,South,水力(Hydro),50.3,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 00:40:00,South,水力(Hydro),50.3,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 00:50:00,South,水力(Hydro),49.9,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 01:00:00,South,水力(Hydro),49.9,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 01:10:00,South,水力(Hydro),50.3,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 01:20:00,South,水力(Hydro),50.4,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 01:30:00,South,水力(Hydro),50.6,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 01:40:00,South,水力(Hydro),50.6,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 01:50:00,South,水力(Hydro),50.3,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 02:00:00,South,水力(Hydro),50.3,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 02:10:00,South,水力(Hydro),49.7,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 02:20:00,South,水力(Hydro),50.0,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 02:30:00,South,水力(Hydro),49.6,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 02:40:00,South,水力(Hydro),49.6,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 02:50:00,South,水力(Hydro),49.900000000000006,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 03:00:00,South,水力(Hydro),50.2,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 03:10:00,South,水力(Hydro),50.1,26.75,4.75,18.0,26.75,5.25,18.0
2025-07-10 03:20:00,South,水力(Hydro),50.2,26.75,4.75,18.0,26.75,5.25,18.0
