DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Islands,輕油(Diesel),58.1,27.0,5.0,9.0,27.0,5.0,18.0
2025-07-09 09:30:00,Islands,輕油(Diesel),61.5,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 09:40:00,Islands,輕油(Diesel),61.7,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 09:50:00,Islands,輕油(Diesel),61.0,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:00:00,Islands,輕油(Diesel),59.6,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:10:00,Islands,輕油(Diesel),58.9,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:20:00,Islands,輕油(Diesel),59.9,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:30:00,Islands,輕油(Diesel),61.4,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:40:00,Islands,輕油(Diesel),60.7,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:50:00,Islands,輕油(Diesel),60.7,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:00:00,Islands,輕油(Diesel),59.400000000000006,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:10:00,Islands,輕油(Diesel),62.3,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:20:00,Islands,輕油(Diesel),62.4,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:30:00,Islands,輕油(Diesel),62.7,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:40:00,Islands,輕油(Diesel),64.2,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:50:00,Islands,輕油(Diesel),62.2,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 12:00:00,Islands,輕油(Diesel),63.3,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 12:10:00,Islands,輕油(Diesel),66.8,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 12:20:00,Islands,輕油(Diesel),67.0,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 12:30:00,Islands,輕油(Diesel),68.2,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 12:40:00,Islands,輕油(Diesel),69.1,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 12:50:00,Islands,輕油(Diesel),68.2,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:00:00,Islands,輕油(Diesel),67.3,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:10:00,Islands,輕油(Diesel),65.9,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:20:00,Islands,輕油(Diesel),66.39999999999999,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:30:00,Islands,輕油(Diesel),66.2,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:40:00,Islands,輕油(Diesel),67.4,27.0,5.0,18.0,29.0,4.0,18.0
