DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Other,其它再生能源(Other Renewable Energy),10.2,,,,,,
2025-07-09 09:30:00,Other,其它再生能源(Other Renewable Energy),5.8,,,,,,
2025-07-09 09:40:00,Other,其它再生能源(Other Renewable Energy),8.5,,,,,,
2025-07-09 09:50:00,Other,其它再生能源(Other Renewable Energy),8.6,,,,,,
2025-07-09 10:00:00,Other,其它再生能源(Other Renewable Energy),8.6,,,,,,
2025-07-09 10:10:00,Other,其它再生能源(Other Renewable Energy),8.0,,,,,,
2025-07-09 10:20:00,Other,其它再生能源(Other Renewable Energy),7.5,,,,,,
2025-07-09 10:30:00,Other,其它再生能源(Other Renewable Energy),8.0,,,,,,
2025-07-09 10:40:00,Other,其它再生能源(Other Renewable Energy),8.6,,,,,,
2025-07-09 10:50:00,Other,其它再生能源(Other Renewable Energy),8.5,,,,,,
2025-07-09 11:00:00,Other,其它再生能源(Other Renewable Energy),8.5,,,,,,
2025-07-09 11:10:00,Other,其它再生能源(Other Renewable Energy),7.5,,,,,,
2025-07-09 11:20:00,Other,其它再生能源(Other Renewable Energy),7.0,,,,,,
2025-07-09 11:30:00,Other,其它再生能源(Other Renewable Energy),7.6,,,,,,
2025-07-09 11:40:00,Other,其它再生能源(Other Renewable Energy),7.8,,,,,,
2025-07-09 11:50:00,Other,其它再生能源(Other Renewable Energy),7.5,,,,,,
2025-07-09 12:00:00,Other,其它再生能源(Other Renewable Energy),7.8,,,,,,
2025-07-09 12:10:00,Other,其它再生能源(Other Renewable Energy),10.4,,,,,,
2025-07-09 12:20:00,Other,其它再生能源(Other Renewable Energy),10.1,,,,,,
2025-07-09 12:30:00,Other,其它再生能源(Other Renewable Energy),10.8,,,,,,
2025-07-09 12:40:00,Other,其它再生能源(Other Renewable Energy),11.4,,,,,,
2025-07-09 12:50:00,Other,其它再生能源(Other Renewable Energy),11.2,,,,,,
2025-07-09 13:00:00,Other,其它再生能源(Other Renewable Energy),12.6,,,,,,
2025-07-09 13:10:00,Other,其它再生能源(Other Renewable Energy),12.8,,,,,,
2025-07-09 13:20:00,Other,其它再生能源(Other Renewable Energy),12.5,,,,,,
2025-07-09 13:30:00,Other,其它再生能源(Other Renewable Energy),11.6,,,,,,
2025-07-09 13:40:00,Other,其它再生能源(Other Renewable Energy),11.9,,,,,,
2025-07-09 13:50:00,Other,其它再生能源(Other Renewable Energy),12.1,,,,,,
2025-07-09 14:00:00,Other,其它再生能源(Other Renewable Energy),14.0,,,,,,
2025-07-09 14:10:00,Other,其它再生能源(Other Renewable Energy),15.5,,,,,,
2025-07-09 14:20:00,Other,其它再生能源(Other Renewable Energy),13.8,,,,,,
2025-07-09 14:30:00,Other,其它再生能源(Other Renewable Energy),15.8,,,,,,
2025-07-09 14:40:00,Other,其它再生能源(Other Renewable Energy),14.6,,,,,,
2025-07-09 14:50:00,Other,其它再生能源(Other Renewable Energy),18.3,,,,,,
2025-07-09 15:00:00,Other,其它再生能源(Other Renewable Energy),14.6,,,,,,
2025-07-09 15:10:00,Other,其它再生能源(Other Renewable Energy),15.4,,,,,,
2025-07-09 15:20:00,Other,其它再生能源(Other Renewable Energy),16.7,,,,,,
2025-07-09 15:30:00,Other,其它再生能源(Other Renewable Energy),17.9,,,,,,
2025-07-09 15:40:00,Other,其它再生能源(Other Renewable Energy),16.3,,,,,,
2025-07-09 15:50:00,Other,其它再生能源(Other Renewable Energy),16.6,,,,,,
2025-07-09 16:00:00,Other,其它再生能源(Other Renewable Energy),15.9,,,,,,
2025-07-09 16:10:00,Other,其它再生能源(Other Renewable Energy),17.5,,,,,,
2025-07-09 16:20:00,Other,其它再生能源(Other Renewable Energy),16.3,,,,,,
2025-07-09 16:30:00,Other,其它再生能源(Other Renewable Energy),16.6,,,,,,
2025-07-09 16:40:00,Other,其它再生能源(Other Renewable Energy),18.0,,,,,,
2025-07-09 16:50:00,Other,其它再生能源(Other Renewable Energy),17.7,,,,,,
2025-07-09 17:00:00,Other,其它再生能源(Other Renewable Energy),17.9,,,,,,
2025-07-09 17:10:00,Other,其它再生能源(Other Renewable Energy),19.1,,,,,,
2025-07-09 17:20:00,Other,其它再生能源(Other Renewable Energy),16.8,,,,,,
2025-07-09 17:30:00,Other,其它再生能源(Other Renewable Energy),17.8,,,,,,
2025-07-09 17:40:00,Other,其它再生能源(Other Renewable Energy),17.1,,,,,,
2025-07-09 17:50:00,Other,其它再生能源(Other Renewable Energy),17.0,,,,,,
2025-07-09 18:00:00,Other,其它再生能源(Other Renewable Energy),17.4,,,,,,
2025-07-09 18:10:00,Other,其它再生能源(Other Renewable Energy),18.4,,,,,,
2025-07-09 18:20:00,Other,其它再生能源(Other Renewable Energy),17.6,,,,,,
2025-07-09 18:30:00,Other,其它再生能源(Other Renewable Energy),17.7,,,,,,
2025-07-09 18:40:00,Other,其它再生能源(Other Renewable Energy),17.4,,,,,,
2025-07-09 18:50:00,Other,其它再生能源(Other Renewable Energy),18.6,,,,,,
2025-07-09 19:00:00,Other,其它再生能源(Other Renewable Energy),19.6,,,,,,
2025-07-09 19:10:00,Other,其它再生能源(Other Renewable Energy),16.4,,,,,,
2025-07-09 19:20:00,Other,其它再生能源(Other Renewable Energy),17.5,,,,,,
2025-07-09 19:30:00,Other,其它再生能源(Other Renewable Energy),17.6,,,,,,
2025-07-09 19:40:00,Other,其它再生能源(Other Renewable Energy),14.7,,,,,,
2025-07-09 19:50:00,Other,其它再生能源(Other Renewable Energy),17.8,,,,,,
2025-07-09 20:00:00,Other,其它再生能源(Other Renewable Energy),17.8,,,,,,
2025-07-09 20:10:00,Other,其它再生能源(Other Renewable Energy),17.8,,,,,,
2025-07-09 20:20:00,Other,其它再生能源(Other Renewable Energy),16.5,,,,,,
2025-07-09 20:30:00,Other,其它再生能源(Other Renewable Energy),16.5,,,,,,
2025-07-09 20:40:00,Other,其它再生能源(Other Renewable Energy),18.0,,,,,,
2025-07-09 20:50:00,Other,其它再生能源(Other Renewable Energy),17.8,,,,,,
2025-07-09 21:00:00,Other,其它再生能源(Other Renewable Energy),18.5,,,,,,
2025-07-09 21:10:00,Other,其它再生能源(Other Renewable Energy),15.1,,,,,,
2025-07-09 21:20:00,Other,其它再生能源(Other Renewable Energy),17.1,,,,,,
2025-07-09 21:30:00,Other,其它再生能源(Other Renewable Energy),16.5,,,,,,
2025-07-09 21:40:00,Other,其它再生能源(Other Renewable Energy),17.8,,,,,,
2025-07-09 21:50:00,Other,其它再生能源(Other Renewable Energy),18.7,,,,,,
2025-07-09 22:00:00,Other,其它再生能源(Other Renewable Energy),16.4,,,,,,
2025-07-09 22:10:00,Other,其它再生能源(Other Renewable Energy),17.6,,,,,,
2025-07-09 22:20:00,Other,其它再生能源(Other Renewable Energy),18.7,,,,,,
2025-07-09 22:30:00,Other,其它再生能源(Other Renewable Energy),16.9,,,,,,
2025-07-09 22:40:00,Other,其它再生能源(Other Renewable Energy),18.5,,,,,,
2025-07-09 22:50:00,Other,其它再生能源(Other Renewable Energy),16.3,,,,,,
2025-07-09 23:00:00,Other,其它再生能源(Other Renewable Energy),17.6,,,,,,
2025-07-09 23:10:00,Other,其它再生能源(Other Renewable Energy),16.2,,,,,,
2025-07-09 23:20:00,Other,其它再生能源(Other Renewable Energy),18.4,,,,,,
2025-07-09 23:30:00,Other,其它再生能源(Other Renewable Energy),16.6,,,,,,
2025-07-09 23:40:00,Other,其它再生能源(Other Renewable Energy),17.5,,,,,,
2025-07-09 23:50:00,Other,其它再生能源(Other Renewable Energy),16.1,,,,,,
2025-07-10 00:00:00,Other,其它再生能源(Other Renewable Energy),16.5,,,,,,
2025-07-10 00:10:00,Other,其它再生能源(Other Renewable Energy),17.3,,,,,,
2025-07-10 00:20:00,Other,其它再生能源(Other Renewable Energy),17.9,,,,,,
2025-07-10 00:30:00,Other,其它再生能源(Other Renewable Energy),16.6,,,,,,
2025-07-10 00:40:00,Other,其它再生能源(Other Renewable Energy),17.2,,,,,,
2025-07-10 00:50:00,Other,其它再生能源(Other Renewable Energy),16.3,,,,,,
2025-07-10 01:00:00,Other,其它再生能源(Other Renewable Energy),16.3,,,,,,
2025-07-10 01:10:00,Other,其它再生能源(Other Renewable Energy),18.2,,,,,,
2025-07-10 01:20:00,Other,其它再生能源(Other Renewable Energy),18.9,,,,,,
2025-07-10 01:30:00,Other,其它再生能源(Other Renewable Energy),19.7,,,,,,
2025-07-10 01:40:00,Other,其它再生能源(Other Renewable Energy),19.2,,,,,,
2025-07-10 01:50:00,Other,其它再生能源(Other Renewable Energy),17.4,,,,,,
2025-07-10 02:00:00,Other,其它再生能源(Other Renewable Energy),16.9,,,,,,
2025-07-10 02:10:00,Other,其它再生能源(Other Renewable Energy),16.4,,,,,,
2025-07-10 02:20:00,Other,其它再生能源(Other Renewable Energy),16.1,,,,,,
2025-07-10 02:30:00,Other,其它再生能源(Other Renewable Energy),16.5,,,,,,
