DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 09:30:00,Other,太陽能(Solar),740.78,,,,,,
2025-07-09 09:40:00,Other,太陽能(Solar),715.1809999999999,,,,,,
2025-07-09 09:50:00,Other,太陽能(Solar),756.222,,,,,,
2025-07-09 10:00:00,Other,太陽能(Solar),827.962,,,,,,
2025-07-09 10:10:00,Other,太陽能(Solar),941.747,,,,,,
2025-07-09 10:20:00,Other,太陽能(Solar),960.143,,,,,,
2025-07-09 10:30:00,Other,太陽能(Solar),967.437,,,,,,
2025-07-09 10:40:00,Other,太陽能(Solar),981.423,,,,,,
2025-07-09 10:50:00,Other,太陽能(Solar),1059.041,,,,,,
2025-07-09 11:00:00,Other,太陽能(Solar),1141.543,,,,,,
2025-07-09 11:10:00,Other,太陽能(Solar),1201.7089999999998,,,,,,
2025-07-09 11:20:00,Other,太陽能(Solar),1199.462,,,,,,
2025-07-09 11:30:00,Other,太陽能(Solar),1326.461,,,,,,
2025-07-09 11:40:00,Other,太陽能(Solar),1359.325,,,,,,
2025-07-09 11:50:00,Other,太陽能(Solar),1442.232,,,,,,
2025-07-09 12:00:00,Other,太陽能(Solar),1570.057,,,,,,
2025-07-09 12:10:00,Other,太陽能(Solar),1679.471,,,,,,
2025-07-09 12:20:00,Other,太陽能(Solar),1797.045,,,,,,
2025-07-09 12:30:00,Other,太陽能(Solar),1962.005,,,,,,
2025-07-09 12:40:00,Other,太陽能(Solar),2120.502,,,,,,
2025-07-09 12:50:00,Other,太陽能(Solar),2131.767,,,,,,
2025-07-09 13:00:00,Other,太陽能(Solar),2237.436,,,,,,
2025-07-09 13:10:00,Other,太陽能(Solar),2251.162,,,,,,
2025-07-09 13:20:00,Other,太陽能(Solar),2332.307,,,,,,
2025-07-09 13:30:00,Other,太陽能(Solar),2354.625,,,,,,
2025-07-09 13:40:00,Other,太陽能(Solar),2186.497,,,,,,
2025-07-09 13:50:00,Other,太陽能(Solar),2050.081,,,,,,
2025-07-09 14:00:00,Other,太陽能(Solar),1993.642,,,,,,
2025-07-09 14:10:00,Other,太陽能(Solar),1925.665,,,,,,
2025-07-09 14:20:00,Other,太陽能(Solar),1903.866,,,,,,
2025-07-09 14:30:00,Other,太陽能(Solar),1911.571,,,,,,
2025-07-09 14:40:00,Other,太陽能(Solar),1970.997,,,,,,
2025-07-09 14:50:00,Other,太陽能(Solar),1877.09,,,,,,
2025-07-09 15:00:00,Other,太陽能(Solar),1899.042,,,,,,
2025-07-09 15:10:00,Other,太陽能(Solar),1861.598,,,,,,
2025-07-09 15:20:00,Other,太陽能(Solar),1776.272,,,,,,
2025-07-09 15:30:00,Other,太陽能(Solar),1548.419,,,,,,
2025-07-09 15:40:00,Other,太陽能(Solar),1495.576,,,,,,
2025-07-09 15:50:00,Other,太陽能(Solar),1407.49,,,,,,
2025-07-09 16:00:00,Other,太陽能(Solar),1314.72,,,,,,
2025-07-09 16:10:00,Other,太陽能(Solar),1215.366,,,,,,
2025-07-09 16:20:00,Other,太陽能(Solar),1118.792,,,,,,
2025-07-09 16:30:00,Other,太陽能(Solar),1011.556,,,,,,
2025-07-09 16:40:00,Other,太陽能(Solar),927.077,,,,,,
2025-07-09 16:50:00,Other,太陽能(Solar),821.236,,,,,,
2025-07-09 17:00:00,Other,太陽能(Solar),777.672,,,,,,
2025-07-09 17:10:00,Other,太陽能(Solar),685.4720000000001,,,,,,
2025-07-09 17:20:00,Other,太陽能(Solar),578.391,,,,,,
2025-07-09 17:30:00,Other,太陽能(Solar),495.53,,,,,,
2025-07-09 17:40:00,Other,太陽能(Solar),363.743,,,,,,
2025-07-09 17:50:00,Other,太陽能(Solar),288.127,,,,,,
2025-07-09 18:00:00,Other,太陽能(Solar),220.341,,,,,,
2025-07-09 18:10:00,Other,太陽能(Solar),157.228,,,,,,
2025-07-09 18:20:00,Other,太陽能(Solar),127.302,,,,,,
2025-07-09 18:30:00,Other,太陽能(Solar),71.841,,,,,,
2025-07-09 18:40:00,Other,太陽能(Solar),30.405,,,,,,
2025-07-09 18:50:00,Other,太陽能(Solar),25.176,,,,,,
2025-07-09 19:00:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 19:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 19:20:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 19:30:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 19:40:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 19:50:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 20:00:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 20:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 20:20:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 20:30:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 20:40:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 20:50:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 21:00:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 21:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 21:20:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 21:30:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 21:40:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 21:50:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 22:00:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 22:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 22:20:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 22:30:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 22:40:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 22:50:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 23:00:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 23:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 23:20:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 23:30:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 23:40:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-09 23:50:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 00:00:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 00:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 00:20:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 00:30:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 00:40:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 00:50:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 01:00:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 01:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 01:20:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 01:30:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 01:40:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 01:50:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 02:00:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 02:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 02:20:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 02:30:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 02:40:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 02:50:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 03:00:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 03:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 03:20:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 03:30:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 03:40:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 03:50:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 04:00:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 04:10:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 04:20:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 04:30:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 04:40:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 04:50:00,Other,太陽能(Solar),0.0,,,,,,
2025-07-10 05:00:00,Other,太陽能(Solar),1.811,,,,,,
2025-07-10 05:10:00,Other,太陽能(Solar),2.091,,,,,,
2025-07-10 05:20:00,Other,太陽能(Solar),2.091,,,,,,
2025-07-10 05:30:00,Other,太陽能(Solar),2.136,,,,,,
2025-07-10 05:40:00,Other,太陽能(Solar),3.612,,,,,,
2025-07-10 05:50:00,Other,太陽能(Solar),9.629,,,,,,
