DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,South,燃氣(LNG),4002.6,26.75,2.0,18.0,26.75,4.0,18.0
2025-07-09 09:30:00,South,燃氣(LNG),4219.0,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 09:40:00,South,燃氣(LNG),4208.1,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 09:50:00,South,燃氣(LNG),4235.4,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:00:00,South,燃氣(LNG),4283.9,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:10:00,South,燃氣(LNG),4298.7,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:20:00,South,燃氣(LNG),4457.4,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:30:00,South,燃氣(LNG),4443.8,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:40:00,South,燃氣(LNG),4188.9,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 10:50:00,South,燃氣(LNG),4221.2,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:00:00,South,燃氣(LNG),4249.1,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:10:00,South,燃氣(LNG),4363.5,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:20:00,South,燃氣(LNG),4387.5,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:30:00,South,燃氣(LNG),4324.6,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:40:00,South,燃氣(LNG),4366.4,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 11:50:00,South,燃氣(LNG),4391.8,29.5,3.75,18.0,26.75,4.0,18.0
2025-07-09 12:00:00,South,燃氣(LNG),4206.900000000001,29.5,3.75,18.0,26.75,4.0,18.0
